term,PR,ci_lo,ci_hi,SE_logPR,p,p_fmt,race_eth,n,suppressed
uninsuredTRUE,1.1602887154856096,1.0215263366751939,1.3179003369262208,0.06498517832239326,0.034472567434921254,3.4472567435e-02,Non-Hispanic Black,3135,FALSE
bmi5,1.0425708084639111,1.0215497080161355,1.0640244739259668,0.010392244026974733,8.183988532343368e-4,8.1839885323e-04,Non-Hispanic Black,3135,FALSE
smoking_fFormer,0.9789247095754411,0.8774378368140249,1.092149833083246,0.05584113394963213,0.7073354430868308,7.0733544309e-01,Non-Hispanic Black,3135,FALSE
smoking_fCurrent,1.106975607158633,0.8631581531782435,1.4196645079840635,0.12693314455060464,0.43376406308330395,4.3376406308e-01,Non-Hispanic Black,3135,FALSE
alcohol_fModerate,1.0569315741658305,0.9557055542192407,1.1688792092259772,0.0513649897727038,0.295281623113163,2.9528162311e-01,Non-Hispanic Black,3135,FALSE
alcohol_fHeavy,1.1809460666975897,1.049824417247986,1.328444632774313,0.060047418452788597,0.012628562181069882,1.2628562181e-02,Non-Hispanic Black,3135,FALSE
egfr_cat_f30-59,0.8227723847682704,0.7051276936705524,0.9600451141173749,0.07872483802172468,0.023353176003593924,2.3353176004e-02,Non-Hispanic Black,3135,FALSE
egfr_cat_f<30,1.154731480968679,0.8161870468953014,1.633700017921462,0.17703038728817766,0.4270239346208322,4.2702393462e-01,Non-Hispanic Black,3135,FALSE
uacr_cat_fA2,0.9746327555187569,0.8705794216447797,1.091122744821407,0.05760293223394211,0.6608709960119528,6.6087099601e-01,Non-Hispanic Black,3135,FALSE
uacr_cat_fA3,1.4139649485014731,1.1140116607430863,1.7946821797692578,0.12164804559577469,0.01068814213492138,1.0688142135e-02,Non-Hispanic Black,3135,FALSE
hba1c,0.9958528130103226,0.9653170994032281,1.0273544577151579,0.01588919427689132,0.79663815379965075,7.9663815380e-01,Non-Hispanic Black,3135,FALSE
antihtn_drug_classes,0.964363377226679,0.9210806831522359,1.0096799773862333,0.023428844203613308,0.13882720004583274,1.3882720005e-01,Non-Hispanic Black,3135,FALSE
ckm_stage_f3,0.8589413792674849,0.7156948991564822,1.030858671603608,0.09308506071989331,0.11973243237834756,1.1973243238e-01,Non-Hispanic Black,3135,FALSE
ckm_stage_f4,0.7627370785666429,0.6346037143947372,0.9167419569474894,0.0938329850030422,0.009829247604468851,9.8292476045e-03,Non-Hispanic Black,3135,FALSE
diet_sodium_500,1.0006143207708047,0.9845752060331716,1.016914718953309,0.008244451986822412,0.9414418183433823,9.4144181834e-01,Non-Hispanic Black,3135,FALSE
cotinine_log,0.9721306867148872,0.9334761842285282,1.0123858412454148,0.020701426765984094,0.18895999623221638,1.8895999623e-01,Non-Hispanic Black,3135,FALSE
pa_met_min_wk_1000,1.0080487146761543,1.0015594514709112,1.0145800228512543,0.0032950304816467056,0.025631927883692392,2.5631927884e-02,Non-Hispanic Black,3135,FALSE
(Intercept),0.06468196575175919,0.03198582197923198,0.13080034948697622,0.3592804513951683,1.5559337629693598e-6,1.5559337630e-06,Other Hispanic,1440,FALSE
age10,1.254324951184905,1.1793468654567472,1.334069839203483,0.031447326010585336,3.0451938306722807e-6,3.0451938307e-06,Other Hispanic,1440,FALSE
sex_fMale,1.2761347754918493,1.0499430848423235,1.5510554702726553,0.09954073723613836,0.027062193529341454,2.7062193529e-02,Other Hispanic,1440,FALSE
pir,1.0125738663021875,0.9605164256472061,1.0674526820582986,0.0269284017793203,0.6492920919296317,6.4929209193e-01,Other Hispanic,1440,FALSE
education_fLess than high school,1.112992615632946,0.8797776068909604,1.408029202778967,0.11996865332187337,0.38630407625868546,3.8630407626e-01,Other Hispanic,1440,FALSE
education_fHigh school/GED,1.0520529179709341,0.8557206500354299,1.2934306799366486,0.10538505858300587,0.6371068522145438,6.3710685221e-01,Other Hispanic,1440,FALSE
uninsuredTRUE,1.059242139100994,0.8345654750673046,1.3444048942436362,0.12163151429864681,0.6428966510423824,6.4289665104e-01,Other Hispanic,1440,FALSE
bmi5,1.0760335159124959,1.0068292949432205,1.1499944759079574,0.03391608619044799,0.04730729724162213,4.7307297242e-02,Other Hispanic,1440,FALSE
smoking_fFormer,0.8547444580735927,0.7285301560934614,1.0028247732737563,0.08151710472651036,0.07335377802666695,7.3353778027e-02,Other Hispanic,1440,FALSE
smoking_fCurrent,0.7394516375804298,0.5031219252660185,1.086791683807603,0.19646752261285177,0.14527093606514882,1.4527093607e-01,Other Hispanic,1440,FALSE
alcohol_fModerate,1.2978553133247592,0.9855692154064225,1.7090919521372183,0.14043319601774706,0.08313309230548085,8.3133092305e-02,Other Hispanic,1440,FALSE
alcohol_fHeavy,1.369920883852549,1.0675576636692852,1.7579221168859689,0.12723444235164025,0.02580461948271622,2.5804619483e-02,Other Hispanic,1440,FALSE
egfr_cat_f30-59,0.507250353029906,0.2307851018963665,1.1149026455117779,0.4017947407989148,0.11183443729430267,1.1183443729e-01,Other Hispanic,1440,FALSE
egfr_cat_f<30,1.5974459310057882,0.9701476332767897,2.6303558499316506,0.2544454492359261,0.08550316187717216,8.5503161877e-02,Other Hispanic,1440,FALSE
uacr_cat_fA2,1.0663848213458664,0.8009539502639815,1.4197777373119396,0.14603371434080367,0.6661167543443126,6.6611675434e-01,Other Hispanic,1440,FALSE
uacr_cat_fA3,1.4713107694890195,0.58129781852479,3.7240039639372093,0.4737988471629874,0.42781456338056956,4.2781456338e-01,Other Hispanic,1440,FALSE
hba1c,0.9758272129484376,0.9132552488086252,1.0426863144481737,0.033811286618810554,0.4803757704382666,4.8037577044e-01,Other Hispanic,1440,FALSE
antihtn_drug_classes,1.1022341335288555,1.0276792013924712,1.182197794282428,0.03573270056204087,0.015681978611230836,1.5681978611e-02,Other Hispanic,1440,FALSE
ckm_stage_f3,0.6817573235085573,0.39294353403937626,1.1828494628212296,0.2811264498116441,0.1930971935160564,1.9309719352e-01,Other Hispanic,1440,FALSE
ckm_stage_f4,0.5645540219861935,0.39829360341064707,0.8002168275150047,0.17798298342017357,0.005816561401867841,5.8165614019e-03,Other Hispanic,1440,FALSE
diet_sodium_500,1.0258482429637836,0.9967108439783375,1.055837431638051,0.01470122533328528,0.10307092749453406,1.0307092749e-01,Other Hispanic,1440,FALSE
cotinine_log,1.035195685774148,0.9544402789224354,1.1227838257782674,0.04143912393805727,0.4169666431491662,4.1696664315e-01,Other Hispanic,1440,FALSE
pa_met_min_wk_1000,1.0224758500511164,1.0138715195211763,1.0311532021646033,0.004311632433448815,1.1742783893517435e-4,1.1742783894e-04,Other Hispanic,1440,FALSE
(Intercept),0.4176701610617915,0.07926711781900347,2.2007658186805004,0.8478921660777349,0.32741840320522364,3.2741840321e-01,Other/Multi,499,FALSE
age10,1.0994705025195768,0.9771935566106349,1.2370480522850134,0.06015267138445752,0.14599664111369381,1.4599664111e-01,Other/Multi,499,FALSE
sex_fMale,2.1017676549302733,1.4387869669144113,3.0702441548971007,0.19335630439373078,0.003257085453039638,3.2570854530e-03,Other/Multi,499,FALSE
pir,1.03944263588969,0.9352554356558214,1.155236261789463,0.05388787563931424,0.4892666665644715,4.8926666656e-01,Other/Multi,499,FALSE
education_fLess than high school,0.7507206285862139,0.37053639463766175,1.5209881413565118,0.36024587361391436,0.44456950033074416,4.4456950033e-01,Other/Multi,499,FALSE
